HU,HYDROGEN,OXYGEN,CARBON,NITROGEN,CHLORINE,CALCIUM,PHOSPHOROUS,MAGNESIUM
-2513,0.078,0.191,0.647,0.084,0,0,0,0
-1500,0,0.237,0,0.765,0,0,0,0
-999,0,0.237,0,0.765,0,0,0,0
-997,0,0.237,0,0.765,0,0,0,0
-994,0,0.237,0,0.765,0,0,0,0
-990,0,0.237,0,0.765,0,0,0,0
-981,0,0.237,0,0.765,0,0,0,0
-968,0,0.237,0,0.765,0,0,0,0
-956,0,0.237,0,0.765,0,0,0,0
-937,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-912,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-865,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-765,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-600,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-375,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-186,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-103,0.11375301908843,0.283385274639657,0.591794857810674,0.00739275418776783,0.00122469809115699,0,0.000224698091156993,0
-69,0.111152941176471,0.382188235294118,0.488571764705882,0.0136329411764706,0.00148470588235294,0,0.000484705882352941,0
-39,0.108967717996289,0.465226716141002,0.40181840445269,0.0188774768089054,0.00170322820037106,0,0.000703228200371058,0
-8,0.10680957562568,0.547236126224157,0.316140152339499,0.0240570184983678,0.00191904243743199,0,0.000919042437431991,0
14,0.105335951445912,0.603233845055337,0.257637272402713,0.0275937165298108,0.00206640485540878,0,0.00106640485540878,0
51,0.103,0.723,0.134,0.03,0.002,0,0.002,0
101,0.094,0.622,0.207,0.062,0.003,0,0,0
161,0.0954013893083661,0.354208698278466,0.457159468438538,0.0246298701298701,0.00121186952582301,0.0436235276351555,0.020592872244035,0.000384173965569314
251,0.0899859026995604,0.36133433855321,0.430509573810994,0.0261618827889402,0.00110498492170185,0.0596205900519566,0.0278610253242742,0.000526686771064201
351,0.0844272311931085,0.368648380009068,0.403155058766087,0.0277344017019496,0.000995274299863983,0.0760406131203571,0.0353213476092491,0.000672967600181355
451,0.0792972537974047,0.375398350266573,0.377910170003018,0.0291856453073132,0.000894024746001408,0.0911942963484559,0.0422063172719042,0.000807967005331456
551,0.0745482194169115,0.38164707971459,0.354539921867433,0.0305291221386369,0.000800293804281148,0.105222693959255,0.0485800213088819,0.000932941594291803
651,0.070139214892756,0.3874484014569,0.332842978551194,0.0317764063132335,0.000713273978146499,0.118246661270741,0.054497369486038,0.001048968029138
751,0.0660349833198089,0.392848706158146,0.312645838968533,0.0329374718240014,0.000632269407627806,0.130370345325038,0.0600056802813092,0.00115697412316293
851,0.0622049792290039,0.397888185224995,0.293798187258519,0.0340209598233739,0.000556677221625076,0.141683975830114,0.0651459489294948,0.0012577637044999
951,0.0586226070334242,0.402601832850758,0.276169145138167,0.0350343940629129,0.000485972507238636,0.152266114749951,0.0699538695077728,0.00135203665701515
1051,0.0552646025651499,0.407020259782698,0.259644228412711,0.03598435585328,0.000419696103259538,0.162185483212156,0.0744606649783515,0.00144040519565395
1151,0.0521105272885697,0.411170358830829,0.244122857972698,0.0368766271486283,0.00035744461753756,0.171502455575212,0.0786937660074459,0.00152340717661659
1251,0.0491423519462881,0.415075852702253,0.229516310893576,0.0377163083309843,0.000298862209466212,0.180270289316557,0.0826773697562976,0.00160151705404505
1351,0.0463441117168247,0.41875774774102,0.215746023448585,0.0385079157643193,0.000243633783884699,0.18853614367859,0.0864329026958405,0.0016751549548204
1451,0.0437016189531254,0.422234711903782,0.202742177479854,0.0392554630593132,0.000191479321443264,0.196341928223991,0.0899794061418581,0.00174469423807565
1551,0.041202222588468,0.425523391330963,0.190442516422198,0.0399625291361571,0.000142149130035552,0.203725013538012,0.0933338591575825,0.00181046782661926
1801,0.0355083355385023,0.433015347975655,0.162422598571051,0.0415732998147658,2.9769780365176e-05,0.220544456205345,0.100975654935168,0.0019603069595131
2251,0,0,1,0,0,0,0,0
